"Packet","Sequence","Delta (ms)","Jitter (ms)","Skew","Bandwidth","Marker","Status"
"127.0.0.1:56795 → 127.0.0.1:5004 (0x03b7f841)"
106,11489,9.709101000000032,1.1758736160394718,11655.896392555554,1106.496,"","OK"
107,11490,9.735667999999919,1.1032218761480856,11655.882946777778,1117.344,"","OK"
108,11491,9.71863200000007,1.03449489777774,11655.886537,1128.192,"","OK"
109,11492,9.720289999999977,0.9699597305555467,11655.888469222224,1139.04,"","OK"
110,11493,9.671921999999995,0.9124810112846259,11655.938769444443,1149.888,"","OK"
111,11494,9.800628999999958,0.86035137169042,11655.860362666666,1160.736,"","OK"
112,11495,9.719370000000026,0.8067576748486812,11655.863214888888,1171.584,"","OK"
113,11496,9.701139000000012,0.757653021559552,11655.884298111112,1182.432,"","OK"
114,11497,9.715409000000022,0.7107255341008791,11655.891111333332,1193.28,"","OK"
115,11498,9.716730999999982,0.6666483896084895,11655.896602555555,1204.128,"","OK"
116,11499,9.719893999999954,0.6251283791468759,11655.898930777777,1214.976,"","OK"
117,11500,9.720528000000058,0.5861637443391067,11655.900625,1225.824,"","OK"
118,11501,9.747045999999955,0.5510799964289955,11655.875801222222,1236.672,"","OK"
119,11502,9.723150000000032,0.5166954827633848,11655.874873444443,1247.52,"","OK"
120,11503,9.71067800000003,0.48512352897958555,11655.886417666667,1258.368,"","OK"
121,11504,9.722028000000023,0.4548154473072742,11655.88661188889,1269.216,"","OK"
122,11505,9.723137999999949,0.42644671796165223,11655.885696111112,1280.064,"","OK"
123,11506,9.820934999999963,0.4059633467002462,11655.786983333332,1280.064,"","OK"
124,11507,9.230174000000034,0.3863436514204156,11655.879031555556,1290.912,"","OK"
125,11508,6.967377000000056,0.3671026801511002,11655.800543444444,1301.76,"","OK"
126,11509,6.886108000000036,0.3450270126416244,11655.814435444443,1312.608,"","OK"
127,11510,6.837024999999812,0.32739876185162553,11655.877410444446,1323.456,"","OK"
128,11511,6.9739350000002105,0.31225172118036915,11655.792364333334,1334.304,"","OK"
129,11512,6.8872029999999995,0.29353580110657335,11655.805161333334,1345.152,"","OK"
130,11513,6.836615999999822,0.2791513135374009,11655.868545333333,1356,"","OK"
131,11514,6.91184300000009,0.26313898838577604,11655.845591222222,1366.848,"","OK"
132,11515,6.879918000000089,0.24794792661163675,11655.86567322222,1377.696,"","OK"
133,11516,6.909817999999859,0.23306480619830972,11655.855855222224,1388.544,"","OK"
134,11517,6.857839000000013,0.2204388738664575,11655.886905111112,1399.392,"","OK"
135,11518,6.998199999999997,0.21279894424982645,11655.788705111112,1410.24,"","OK"
136,11519,6.908926000000065,0.2000568852342391,11655.779779111112,1421.088,"","OK"
137,11520,6.821435000000065,0.19246364240707234,11655.858344111111,1431.936,"","OK"
138,11521,6.8881159999998545,0.18048297031218233,11655.859117,1442.784,"","OK"
139,11522,6.932559999999967,0.1712377846675779,11655.826557,1453.632,"","OK"
140,11523,6.921698000000106,0.16189154812588363,11655.804859,1464.48,"","OK"
141,11524,6.83537699999988,0.1551178194235663,11655.85837088889,1475.328,"","OK"
142,11525,6.866954000000078,0.1474883307095658,11655.891416888888,1486.176,"","OK"
143,11526,7.0307339999999385,0.14644118504023684,11655.76068288889,1497.024,"","OK"
144,11527,6.798127000000022,0.14296122903076358,11655.851444777778,1507.872,"","OK"
145,11528,6.905271999999968,0.1343556522162479,11655.84617277778,1518.72,"","OK"
146,11529,6.855107999999973,0.12876417395271136,11655.891064777778,1529.568,"","OK"
147,11530,6.920822000000044,0.12271223252512671,11655.859131666666,1540.416,"","OK"
148,11531,6.866058000000066,0.11716409299227941,11655.893073666666,1551.264,"","OK"
149,11532,6.896694999999909,0.1100478996802449,11655.896378666666,1562.112,"","OK"
150,11533,6.917039000000159,0.1049292878946966,11655.868228555555,1572.96,"","OK"
151,11534,6.914217999999892,0.09925983240118035,11655.854010555557,1583.808,"","OK"
152,11535,6.8531990000001315,0.09598115537607561,11655.900811555555,1594.656,"","OK"
153,11536,6.754322000000002,0.09059968038728818,11655.890934000001,1605.504,"","OK"
154,11537,5.914252000000033,0.08860572814084483,11655.832237555556,1616.352,"","OK"
155,11538,5.800063999999793,0.08723053679872922,11655.898840222224,1627.2,"","OK"
156,11539,5.877580999999964,0.08315521852668016,11655.876814777777,1638.048,"","OK"
157,11540,5.93342100000018,0.08282460764653402,11655.798949333333,1648.896,"","OK"
158,11541,5.762876000000006,0.0834405418908652,11655.891628888889,1659.744,"","OK"
159,11542,5.85585100000003,0.07824397330044806,11655.891333444444,1670.592,"","OK"
160,11543,5.857520999999906,0.07392532913585018,11655.900479111111,1681.44,"","OK"
161,11544,5.852092000000084,0.06952146828709418,11655.903942666668,1692.288,"","OK"
162,11545,5.867951999999832,0.06595115429690039,11655.891546222223,1703.136,"","OK"
163,11546,5.866361000000097,0.06250454743122397,11655.880740777777,1713.984,"","OK"
164,11547,5.863106000000016,0.05906991599453357,11655.873190333332,1724.832,"","OK"
165,11548,5.8580950000000485,0.055913775411546435,11655.881761999999,1735.68,"","OK"
166,11549,5.94987100000003,0.05831387972608676,11655.787446555556,1746.528,"","OK"
167,11550,5.79739799999993,0.058304109465450615,11655.845604111111,1757.376,"","OK"
168,11551,5.806456000000026,0.05772882484609826,11655.894703666667,1768.224,"","OK"
169,11552,5.876614999999902,0.055436988570971055,11655.873644222223,1779.072,"","OK"
170,11553,5.837586999999985,0.05378965595196055,11655.90272388889,1789.92,"","OK"
171,11554,5.8547869999999875,0.05047583717709002,11655.903492444444,1800.768,"","OK"
172,11555,5.859533000000056,0.047569687631285475,11655.899515,1811.616,"","OK"
